"","Village","n()","mean(Aflatoxin_ppb)","sqrt(var(Aflatoxin_ppb))/sqrt(n())","mean(Fumonisin_ppm)","sqrt(var(Fumonisin_ppm))/sqrt(n())"
"1","Chilanjilizi",9,38.9444444444444,14.1615099547164,0.294444444444444,0.105805260202032
"2","Ibwaga",6,12.7333333333333,3.28274952508479,0.0833333333333333,0.0323178657161089
"3","Iduo",9,18.7888888888889,13.9034112964773,0.127777777777778,0.0589674528348237
"4","Makawa",9,7.65555555555556,2.14172250972015,0.292222222222222,0.111775789688527
"5","Manyata",4,14.1,9.51183473363578,0.26,0.152260741274083
"6","Matongoro",8,33.9125,16.3146126163458,0.11125,0.0566139022552891
"7","Mautya",6,25.5666666666667,8.47882329362067,0.108333333333333,0.0662025511425185
"8","Mkoka",5,7.42,1.07116758726168,0.016,0.00812403840463596
"9","Mlanje",6,7,3.14335277477197,0.328333333333333,0.117201156611661
"10","Mnuku",2,58.1,41.5,0.85,0.1
"11","Msunjilile",7,57.8571428571429,14.5544766005393,0.515714285714286,0.130891760860738
"12","Mtanana",5,54.98,20.2210385489964,0.186,0.135225737195254
"13","Muungano",8,21.425,8.48704369697044,0.44875,0.118689834382369
"14","Mvungurumo",6,60.9666666666667,16.9706544102198,0.251666666666667,0.131108521631679
"15","Ndalibo",8,21.6375,7.85381930518976,0.0925,0.0693528761377019
"16","Pandambili",9,5.34444444444444,1.04271428800979,0.0622222222222222,0.0112765461834358
"17","Sejeli",7,56.0428571428571,16.2451876704758,0.42,0.213452347754492
"18","Silwa",8,21.4,12.4366394174632,0.23,0.0985248337077656
"19","Suguta",6,7.25,3.49482951420142,0.583333333333333,0.262433060247963
