"","locationID","SampleID","Source","Village","Ward","Aflatoxin_ppb","Fumonisin_ppm","Ward_mean_AF","Ward_SE_AF"
"1","10nov15_02","10nov15_02_001","purchased","Mkoka","Mkoka",7.9,0.03,39.9307692307692,11.5213257373256
"2","10nov15_02","10nov15_02_002","homegrown","Mkoka","Mkoka",10.5,0.04,39.9307692307692,11.5213257373256
"3","10nov15_03","10nov15_03_001","purchased","Mvungurumo","Mkoka",48,0.17,39.9307692307692,11.5213257373256
"4","10nov15_03","10nov15_03_002","purchased","Mvungurumo","Mkoka",67.2,0.59,39.9307692307692,11.5213257373256
"5","10nov15_04","10nov15_04_001","homegrown","Mvungurumo","Mkoka",4,0.72,39.9307692307692,11.5213257373256
"6","10nov15_05","10nov15_05_001","purchased","Mnuku","Mkoka",16.6,0.95,39.9307692307692,11.5213257373256
"7","11nov15_01","11nov15_01_001","purchased","Ibwaga","Ugogoni",8.3,0.19,19.15,4.74668145639507
"8","11nov15_01","11nov15_01_002","purchased","Ibwaga","Ugogoni",7.9,0.02,19.15,4.74668145639507
"9","11nov15_02","11nov15_02_001","homegrown","Ibwaga","Ugogoni",14.2,0.18,19.15,4.74668145639507
"10","11nov15_03","11nov15_03_001","purchased","Mautya","Ugogoni",6.3,0.11,19.15,4.74668145639507
"11","11nov15_04","11nov15_04_001","homegrown","Mautya","Ugogoni",59.1,0.43,19.15,4.74668145639507
"12","11nov15_04","11nov15_04_002","purchased","Mautya","Ugogoni",16.4,0.06,19.15,4.74668145639507
"13","12nov15_01","12nov01_01_001","purchased","Mtanana","Mtanana",39,0.05,34.4615384615385,9.82302070140327
"14","12nov15_01","12nov15_01_002","purchased","Mtanana","Mtanana",133.2,0.13,34.4615384615385,9.82302070140327
"15","12nov15_01","12nov15_01_003","homegrown","Mtanana","Mtanana",44.7,0.72,34.4615384615385,9.82302070140327
"16","12nov15_02","12nov15_02_001","homegrown","Ndalibo","Mtanana",3.6,0.01,34.4615384615385,9.82302070140327
"17","12nov15_02","12nov15_02_002","homegrown","Ndalibo","Mtanana",8.6,0.02,34.4615384615385,9.82302070140327
"18","12nov15_03","12nov15_03_001","homegrown","Ndalibo","Mtanana",7.6,0.01,34.4615384615385,9.82302070140327
"19","12nov15_04","12nov15_04_001","homegrown","Ndalibo","Mtanana",31.1,0.11,34.4615384615385,9.82302070140327
"20","13nov15_01","13nov15_01_001","purchased","Matongoro","Matongoro",48.7,0.04,22.3785714285714,9.85750218328982
"21","13nov15_01","13nov15_01_002","purchased","Matongoro","Matongoro",141.5,0.49,22.3785714285714,9.85750218328982
"22","13nov15_02","13nov15_02_001","homegrown","Matongoro","Matongoro",13.1,0.01,22.3785714285714,9.85750218328982
"23","13nov15_02","13nov1t_02_002","homegrown","Matongoro","Matongoro",3.5,0.03,22.3785714285714,9.85750218328982
"24","13nov15_02","13nov15_02_003","purchased","Matongoro","Matongoro",6.1,0.13,22.3785714285714,9.85750218328982
"25","13nov15_03","13nov15_03_001","homegrown","Mlanje","Matongoro",5.8,0.42,22.3785714285714,9.85750218328982
"26","13nov15_03","13nov15_03_002","purchased","Mlanje","Matongoro",6.8,0.22,22.3785714285714,9.85750218328982
