"","ident","Latitude","Longitude","y_proj","x_proj","coords.x1","coords.x2","coords.x3"
"1","10Nov15-01",-5.81371956,36.43656249,-5.81371956,36.43656249,36.436562492,-5.813719556,1210.897217
"2","10Nov15-02",-5.81358561,36.43652888,-5.81358561,36.43652888,36.43652888,-5.813585613,1209.214844
"3","10Nov15-03",-5.8148372,36.43487781,-5.8148372,36.43487781,36.434877813,-5.814837199,0
"4","10Nov15-04",-5.84866664,36.38366665,-5.84866664,36.38366665,36.383666648,-5.848666644,1172.20459
"5","10Nov15-05",-5.80602639,36.38045127,-5.80602639,36.38045127,36.380451266,-5.806026394,1195.996826
"6","11Nov15-01",-6.2259408,36.47654233,-6.2259408,36.47654233,36.476542326,-6.225940799,1179.654541
"7","11Nov15-02",-6.2259413,36.47654249,-6.2259413,36.47654249,36.476542493,-6.225941302,0
"8","11Nov15-03",-6.16164029,36.48955045,-6.16164029,36.48955045,36.489550453,-6.161640286,1110.199951
"9","11Nov15-04",-6.14870944,36.47551345,-6.14870944,36.47551345,36.475513447,-6.148709441,1029.689941
"10","12Nov15-01",-6.0434262,36.57327091,-6.0434262,36.57327091,36.573270913,-6.043426199,1226.999023
"11","12Nov15-02",-5.99594205,36.55068378,-5.99594205,36.55068378,36.55068378,-5.995942047,1210.656982
"12","12Nov15-03",-5.99242609,36.55065453,-5.99242609,36.55065453,36.550654527,-5.99242609,1193.83374
"13","12Nov15-04",-5.99289623,36.55040173,-5.99289623,36.55040173,36.550401729,-5.992896231,1194.795166
"14","13Nov15-01",-5.80476684,36.46624222,-5.80476684,36.46624222,36.466242224,-5.804766845,1249.589844
"15","13Nov15-02",-5.80605179,36.46663416,-5.80605179,36.46663416,36.466634162,-5.806051791,1238.534912
"16","13Nov15-03",-5.78025665,36.46233005,-5.78025665,36.46233005,36.462330054,-5.780256651,1236.852539
"17","18Nov15-02",-6.0314788,36.322693,-6.0314788,36.322693,36.322692996,-6.031478802,1025.604492
"18","18Nov15-03",-5.96319362,36.35346137,-5.96319362,36.35346137,36.35346137,-5.963193616,1058.769775
"19","19Nov15-01",-5.88907697,36.61600697,-5.88907697,36.61600697,36.616006969,-5.889076972,1269.296875
"20","19Nov15-02",-5.88856241,36.61543432,-5.88856241,36.61543432,36.615434317,-5.888562407,1280.351807
"21","19Nov15-03",-6.02405302,36.64217561,-6.02405302,36.64217561,36.642175606,-6.024053022,1183.259521
"22","20Nov15-01",-5.75523298,36.54230573,-5.75523298,36.54230573,36.542305732,-5.755232982,1285.158447
"23","20Nov15-02",-5.75346239,36.53955353,-5.75346239,36.53955353,36.539553534,-5.753462389,1291.166504
"24","20Nov15-03",-5.76081181,36.54889248,-5.76081181,36.54889248,36.548892483,-5.760811809,1307.509033
"25","20Nov15-04",-5.76664176,36.54871495,-5.76664176,36.54871495,36.548714954,-5.766641758,1308.470215
"26","Kibaigua Mkt",-6.07805343,36.64585317,-6.07805343,36.64585317,36.645853166,-6.078053433,1173.165771
"27","16Nov15-01",-6.08419318,36.73339292,-6.08419318,36.73339292,36.733392924,-6.084193178,1295.011719
"28","16Nov15-02",-6.08461546,36.7372781,-6.08461546,36.7372781,36.737278104,-6.084615458,1316.641357
"29","16Nov15-03",-6.1105898,36.77079977,-6.1105898,36.77079977,36.770799765,-6.110589802,1338.751709
"30","16Nov15-04",-6.0922388,36.79146107,-6.0922388,36.79146107,36.791461073,-6.092238799,1351.969482
"31","17Nov15-01",-6.266731,36.64529258,-6.266731,36.64529258,36.645292584,-6.266730996,1194.554688
"32","17Nov15-02",-6.26753876,36.65204488,-6.26753876,36.65204488,36.652044877,-6.26753876,1188.306396
"33","17Nov15-03",-6.29530901,36.68293839,-6.29530901,36.68293839,36.682938393,-6.295309011,1119.812988
"34","18Nov15-01",-6.02301325,36.31969655,-6.02301325,36.31969655,36.319696549,-6.023013247,965.041748
"35","Kongwa Dist HQ",-6.19695316,36.41244801,-6.19695316,36.41244801,36.412448008,-6.196953161,1034.736816
