"","type","ident","Latitude","Longitude","y_proj","x_proj","comment","display","symbol","dist","proximity","color","altitude","depth","temp","time","wpt_class","sub_class","attrib","link","state","country","city","address","zip","facility","crossroad","ete","dtype","model","filename","ltime","magvar","geoidheigh","desc","fix","sat","hdop","vdop","pdop","ageofdgpsd","dgpsid","dir","coords.x1","coords.x2","coords.x3"
"1","WAYPOINT","10Nov15-01",-5.81371956,36.43656249,-5.81371956,36.43656249,"10-NOV-15 4:05:45AM",NA,"Custom 0",0,NA,NA,1210.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/09 23:05:45",0,NA,"10-NOV-15 4:05:45AM",NA,NA,0,0,0,NA,NA,NA,36.436562492,-5.813719556,1210.897217
"2","WAYPOINT","10Nov15-02",-5.81358561,36.43652888,-5.81358561,36.43652888,"10-NOV-15 5:02:13AM",NA,"Custom 0",0,NA,NA,1209.21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/10 00:02:13",0,NA,"10-NOV-15 5:02:13AM",NA,NA,0,0,0,NA,NA,NA,36.43652888,-5.813585613,1209.214844
"3","WAYPOINT","10Nov15-03",-5.8148372,36.43487781,-5.8148372,36.43487781,"10-NOV-15 7:43:56AM",NA,"Custom 0",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/10 02:43:56",0,NA,"10-NOV-15 7:43:56AM",NA,NA,0,0,0,NA,NA,NA,36.434877813,-5.814837199,0
"4","WAYPOINT","10Nov15-04",-5.84866664,36.38366665,-5.84866664,36.38366665,"10-NOV-15 9:04:06AM",NA,"Custom 0",0,NA,NA,1172.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/10 04:04:06",0,NA,"10-NOV-15 9:04:06AM",NA,NA,0,0,0,NA,NA,NA,36.383666648,-5.848666644,1172.20459
"5","WAYPOINT","10Nov15-05",-5.80602639,36.38045127,-5.80602639,36.38045127,"10-NOV-15 9:47:11AM",NA,"Custom 0",0,NA,NA,1196,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/10 04:47:11",0,NA,"10-NOV-15 9:47:11AM",NA,NA,0,0,0,NA,NA,NA,36.380451266,-5.806026394,1195.996826
"6","WAYPOINT","11Nov15-01",-6.2259408,36.47654233,-6.2259408,36.47654233,"11-NOV-15 3:05:49AM",NA,"Custom 0",0,NA,NA,1179.65,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/10 22:05:49",0,NA,"11-NOV-15 3:05:49AM",NA,NA,0,0,0,NA,NA,NA,36.476542326,-6.225940799,1179.654541
"7","WAYPOINT","11Nov15-02",-6.2259413,36.47654249,-6.2259413,36.47654249,"11-NOV-15 4:28:02AM",NA,"Custom 0",0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/10 23:28:02",0,NA,"11-NOV-15 4:28:02AM",NA,NA,0,0,0,NA,NA,NA,36.476542493,-6.225941302,0
"8","WAYPOINT","11Nov15-03",-6.16164029,36.48955045,-6.16164029,36.48955045,"11-NOV-15 6:58:47AM",NA,"Custom 0",0,NA,NA,1110.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/11 01:58:47",0,NA,"11-NOV-15 6:58:47AM",NA,NA,0,0,0,NA,NA,NA,36.489550453,-6.161640286,1110.199951
"9","WAYPOINT","11Nov15-04",-6.14870944,36.47551345,-6.14870944,36.47551345,"11-NOV-15 7:51:46AM",NA,"Custom 0",0,NA,NA,1029.69,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/11 02:51:46",0,NA,"11-NOV-15 7:51:46AM",NA,NA,0,0,0,NA,NA,NA,36.475513447,-6.148709441,1029.689941
"10","WAYPOINT","12Nov15-01",-6.0434262,36.57327091,-6.0434262,36.57327091,"12-NOV-15 4:06:44AM",NA,"Custom 0",0,NA,NA,1227,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garmin eTrex Legend",NA,"2015/11/11 23:06:44",0,NA,"12-NOV-15 4:06:44AM",NA,NA,0,0,0,NA,NA,NA,36.573270913,-6.043426199,1226.999023
