Sample ID,Ward,Village,Sample type,Total Maize samples,Millet ,Finger millet,Sorghum,Rice,Sesame,Groundnuts,Home made Lishe,Whole millet flour ,Sifted Sorghum flour ,Commercial Lishe
HH01_FMN_04,Mkoka,Mkoka,Maize,,,,,,,,,,,
HH02_FMN_08,Mkoka,Mkoka,Maize,,,,,,,,,,,
HH03_FMN_10,Mkoka,Mkoka,Maize,3,,,,,,,,,,
HH04_FMN_15,Mkoka,Mvungulumo,Maize,,,,,,,,,,,
HH05_FMN_16,Mkoka,Mvungulumo,Maize,,,,,,,,,,,
HH06_FMN_19,Mkoka,Mvungulumo,Maize,3,,,,,,,,,,
HH07_FMN_22,Mkoka,Mnuku,Maize,1,,,,,,,,,,
HH08_FMN_22a,Ugogoni,Ibwaga,Maize,1,,,,,,,,,,
HH13_FMN_39b,Ugogoni,Mautya B,Maize,,,,,,,,,,,
HH14_FMN_39a,Ugogoni,Mautya B,Maize,2,,,,,,,,,,
HH15_FMN_40b,Mtanana,Mtanana A,Maize,,,,,,,,,,,
HH16_FMN_43,Mtanana,Mtanana A,Maize,2,,,,,,,,,,
HH17_FMN_44,Mtanana,Ndalibo,Maize,,,,,,,,,,,
HH18_FMN_47,Mtanana,Ndalibo,Maize,,,,,,,,,,,
HH19_FMN_48,Mtanana,Ndalibo,Maize,,,,,,,,,,,
HH20_FMN_51b,Mtanana,Ndalibo,Maize,4,,,,,,,,,,
HH21_FMN_55,Matongoro,Matongoro,Maize,,,,,,,,,,,
HH22_FMN_56,Matongoro,Matongoro,Maize,,,,,,,,,,,
HH23_FMN_59,Matongoro,Matongoro,Maize,,,,,,,,,,,
HH24_FMN_61,Matongoro,Matongoro,Maize,4,,,,,,,,,,
HH26_FMN_68,Matongoro,Mlanje,Maize,,,,,,,,,,,
HH27_FMN_72,Matongoro,Mlanje,Maize,2,,,,,,,,,,
HH28_FMN_77,Pandambili,Pandambili A,Maize,,,,,,,,,,,
HH29_FMN_79,Pandambili,Pandambili A,Maize,,,,,,,,,,,
HH30_FMN_81,Pandambili,Pandambili A,Maize,3,,,,,,,,,,
HH32_FMN_84,Pandambili,Silwa,Maize,,,,,,,,,,,
HH33_FMN_87,Pandambili,Silwa,Maize,,,,,,,,,,,
HH34_FMN_90,Pandambili,Silwa,Maize,3,,,,,,,,,,
HH35_FMN_93,Iduo,Iduo,Maize,,,,,,,,,,,
HH36_FMN_97,Iduo,Iduo,Maize,,,,,,,,,,,
