LocationID,LocType,Village,Ward,Latitude,Longitude,Elev_masl
10nov15_01,Mill,Mkoka,Mkoka,-5.81371956,36.43656249,1211
10nov15_02,Mill,Mkoka,Mkoka,-5.81358561,36.43652888,1209
10nov15_03,Mill,Mvungurumo,Mkoka,-5.8148372,36.43487781,1190
10nov15_04,Mill,Mvungurumo,Mkoka,-5.84866664,36.38366665,1172
10nov15_05,Mill,Mnuku,Mkoka,-5.80602639,36.38045127,1196
11nov15_01,Mill,Ibwaga,Ugogoni,-6.2259408,36.47654233,1180
11nov15_02,Mill,Ibwaga,Ugogoni,-6.2259413,36.47654249,1178
11nov15_03,Mill,Mautya,Ugogoni,-6.16164029,36.48955045,1110
11nov15_04,Mill,Mautya,Ugogoni,-6.14870944,36.47551345,1030
12nov15_01,Mill,Mtanana,Mtanana,-6.0434262,36.57327091,1227
12nov15_02,Mill,Ndalibo,Mtanana,-5.99594205,36.55068378,1211
12nov15_03,Mill,Ndalibo,Mtanana,-5.99242609,36.55065453,1194
12nov15_04,Mill,Ndalibo,Mtanana,-5.99289623,36.55040173,1195
13nov15_01,Mill,Matongoro,Matongoro,-5.80476684,36.46624222,1250
13nov15_02,Mill,Matongoro,Matongoro,-5.80605179,36.46663416,1239
13nov15_03,Mill,Mlange,Matongoro,-5.78025665,36.46233005,1237
14nov15_01,Market,Kibaigua,Kibaigua,-6.07805343,36.64585317,1173
16nov15_01,Mill,Pandambili,Pandambili,-6.08419318,36.73339292,1295
16nov15_02,Mill,Pandambili,Pandambili,-6.08461546,36.7372781,1317
16nov15_03,Mill,Silwa,Pandambili,-6.1105898,36.77079977,1339
16nov15_04,Mill,Silwa,Pandambili,-6.0922388,36.79146107,1352
17nov15_01,Mill,Iduo,Iduo,-6.266731,36.64529258,1195
17nov15_02,Mill,Iduo,Iduo,-6.26753876,36.65204488,1188
17nov15_03,Mill,Suguta,Iduo,-6.29530901,36.68293839,1120
18nov15_01,Mill,Sejeli,Sejeli,-6.02301325,36.31969655,965
18nov15_02,Mill,Sejeli,Sejeli,-6.0314788,36.322693,1026
18nov15_03,Mill,Msunjilile,Sejeli,-5.96319362,36.35346137,1059
19nov15_01,Mill,Chilanjilizi,Ngomai,-5.88907697,36.61600697,1280
19nov15_02,Mill,Chilanjilizi,Ngomai,-5.88856241,36.61543432,1183
19nov15_03,Mill,Manyata,Ngomai,-6.02405302,36.64217561,1269
20nov15_01,Mill,Makawa,Makawa,-5.75523298,36.54230573,1285
20nov15_02,Mill,Makawa,Makawa,-5.75346239,36.53955353,1291
20nov15_03,Mill,Muungano,Makawa,-5.76081181,36.54889248,1308
20nov15_04,Mill,Muungano,Makawa,-5.76664176,36.54871495,1308
