locationID,SampleID,MaizeFlourType,otherTypes,SeedVsFood,source,TimeSinceHarvested,MktLoc,purchasedSource,VisInspection,Aflatoxin_ppb,Fumonisin_ppm
10nov15_02,10nov15_02_001,sembe,,food,purchased,4,Mkoka,same_village,Put it through his own milling process,7.9,0.03
10nov15_02,10nov15_02_002,sembe wholekmaize,,food,homegrown,3,,,"Slight discoloration, lots of variability in kernel size",10.5,0.04
10nov15_03,10nov15_03_001,dona wholekmaize,,food,purchased,4,Mvungurumo,same_village,"Some irregularity and discoloration, trouble with weevils. Also - dona (while grain)",48.0,0.17
10nov15_03,10nov15_03_002,dona wholekmaize,,food,purchased,4,Mvugurumo,same_village,Darker color than sembe ; usually dehulled to put in lishe,67.2,0.59
10nov15_04,10nov15_04_001,dona wholekmaize,,food,homegrown,4,,,"Some discoloration, weevil damage",4.0,0.72
10nov15_05,10nov15_05_001,dona wholekmaize,,food,purchased,4,Mnuku,same_village,,16.6,0.95
11nov15_01,11nov15_01_001,dona wholekmaize,,food,purchased,4,Ibwaga,same_village,,8.3,0.19
11nov15_01,11nov15_01_002,dona wholekmaize,,food,purchased,Unknown,Ibwaga,same_ward,"Lots of size and color variation, some deformity",7.9,0.02
11nov15_02,11nov15_02_001,dona wholekmaize,,food,homegrown,5,,,,14.2,0.18
11nov15_03,11nov15_03_001,dona wholekmaize,,food,other,6,,,,6.3,0.11
11nov15_04,11nov15_04_001,dona wholekmaize,,food,homegrown,5,,,Whole k's look clean by comparison to other samples,59.1,0.43
11nov15_04,11nov15_04_002,dona wholekmaize,,food,purchased,5,Outside the village,different_ward,,16.4,0.06
12nov15_01,12nov01_01_001,sembe,,food,purchased,4,Mtanana,same_village,,39.0,0.05
12nov15_01,12nov15_01_002,dona wholekmaize,,food,purchased,4,Mtanana a,same_village,,133.2,0.13
12nov15_01,12nov15_01_003,dona wholekmaize,,food,homegrown,4,,,Noticeable weevil or maybe army worm damage,44.7,0.72
12nov15_02,12nov15_02_001,sembe wholekmaize,,food,homegrown,5,,,,3.6,0.01
12nov15_02,12nov15_02_002,sembe wholekmaize,,food,homegrown,4,,,,8.6,0.02
12nov15_03,12nov15_03_001,sembe,,food,homegrown,4,,,,7.6,0.01
12nov15_04,12nov15_04_001,sembe,,food,homegrown,4,,,Bag full of soil - grains dried on bare ground before storing,31.1,0.11
13nov15_01,13nov15_01_001,sembe,,food,purchased,4,Matongoro village,same_village,,48.7,0.04
13nov15_01,13nov15_01_002,sembe,,food,purchased,4,Matongoro village,same_village,,141.5,0.49
13nov15_02,13nov15_02_001,sembe wholekmaize,,food,homegrown,4,,,Visible aspergillus spores,13.1,0.01
13nov15_02,13nov1t_02_002,sembe,,food,homegrown,4,,,Visible aspergillus,3.5,0.03
13nov15_02,13nov15_02_003,sembe,,food,purchased,4,Matongoro village,same_village,,6.1,0.13
13nov15_03,13nov15_03_001,sembe wholekmaize,,food,homegrown,4,,,,5.8,0.42
13nov15_03,13nov15_03_002,sembe wholekmaize,,food,purchased,Unknown,Unknown,unknown,,6.8,0.22
13nov15_03,13nov15_03_003,dona wholekmaize,,food,homegrown,4,,,,1.9,0.67
16nov15_01,16nov15_01_002,sembe,,,homegrown,5,,,,6.2,0.02
16nov15_01,16nov15_01_003,sembe,,,purchased,4,Pandambili village,same_village,,11.4,0.04
16nov15_01,16nov15_01_004,sembe,,food,purchased,4,Pandambili village,same_village,,5.4,0.13
16nov15_02,16nov15_02_001,sembe,,,homegrown,4,,,,6.3,0.10
16nov15_02,16nov15_02_002,sembe,,,homegrown,5,,,,4.1,0.07
16nov15_02,16nov15_02_003,sembe,,,homegrown,6,,,,5.8,0.06
16nov15_03,16nov15_03_001,sembe,,,purchased,4,Silwa,unknown,,10.6,0.36
