ID,Latitude,Longitude,VendorCustID,VDSA,Gender
Ma01,16 51 00.8,78 31 57.1,01_ma01,,male
Ma01,16 51 00.8,78 31 57.1,01_ma01,,male
Ma01,16 51 00.8,78 31 57.1,02ma01,,male
Ma01,16 51 00.8,78 31 57.1,03ma01,,male
Ma01,16 51 00.8,78 31 57.1,05ma01,,male
Ma01,16 51 00.8,78 31 57.1,06ma01,,male
Ma01,16 51 00.8,78 31 57.1,07ma01,,male
Ma01,16 51 00.8,78 31 57.1,08ma01,,male
Ma01,16 51 00.8,78 31 57.1,13ma01,,male
Ma01,16 51 00.8,78 31 57.1,14ma01,,male
Ma01,16 51 00.8,78 31 57.1,15ma01,,male
Ma01,16 51 00.8,78 31 57.1,16ma01,,male
Ma01,16 51 00.8,78 31 57.1,17ma01,,male
Ma01,16 51 00.8,78 31 57.1,18ma01,,male
Ho01,16 51 50.3,78 36 59.2,,210,female
Ho02,16 51 50.9,78 37 02.6,,305,female
Ho03,16 51 51.2,78 37 02.6,,35,female
Ho04,16 51 56.1,78 36 59.3,,217,female
Ho05,16 51 58.7,78 37 00.0,,229,female
Ho06,16 51 53.4,78 37 01.3,,53,female
Ho08,16 51 51.9,78 36 56.5,,38,female
Ho09,16 51 54.2,78 36 56.3,,212,female
Ho10,16 51 56.1,78 36 56.5,,302,female
Ho11,16 51 01.7,78 37 28.3,,225,male
Ho12,16 51 00.1,78 37 27.2,,224,female
Ho13,16 50 59.8,78 37 27.4,,226,female
Ho14,16 50 56.6,78 37 29.3,,36,female
Ho15,16 51 01.6,78 37 27.0,,329,female
Ho16,16 51 00.0,78 37 27.4,,227,female
Ho17,16 51 00.6,78 37 27.0,,328,female
Ho18,16 50 58.9,78 37 27.2,,44,male
Ho19,16 50 57.0,78 37 28.1,,316,female
Ho20,16 50 57.0,78 37 28.8,,43,female
Ho21,16 50 55.9,78 37 29.6,,308,female
Ho22,16 50 51.8,78 37 31.9,,48,female
Ho23,16 50 53.7,78 37 34.5,,58,female
Ho24,16 50 55.8,78 37 33.4,,307,female
Ho25,16 50 55.8,78 37 31.8,,44,female
Ho26,16 50 56.6,78 37 32.3,,242,female
Ho27,16 50 56.6,78 37 32.1,,219,female
Mi01,16 51 48.3,78 35 56.0,,,male
Ho28,16 51 54.0,78 37 01.5,,241,female
Mi02,16 51 56.8,78 36 59.3,,,female
Ho29,16 51 49.1,78 37 03.9,,297,female
Ho30,16 51 44.9,78 37 02.7,,304,female
Ho31,16 51 43.2,78 37 03.0,,203,male
Ho32,16 51 43.1,78 37 03.9,,317,female
Ho33,16 51 42.3,78 37 03.8,,228,female
Ho34,16 51 45.3,78 37 05.3,,1006,female
Ho35,16 51 54.8,78 36 56.5,,233,female
Ho36,16 51 54.6,78 36 54.3,,300,male
Ho37,16 51 43.9,78 37 03.3,,301,female
Ho38,16 51 43.6,78 37 03.3,,8,female
Ho39,16 51 43.2,78 37 03.1,,202,female
Ho40,16 51 43.4,78 37 04.0,,302,female
Ho41,16 51 44.1,78 37 05.1,,34,female
Ho42,16 51 48.7,78 37 03.7,,234,female
Ho43,16 51 52.3,78 37 04.4,,55,female
Ho44,16 51 54.0,78 37 03.9,,239,female
Ho45,16 50 56.1,78 37 31.1,,216,female
Ho46,16 50 55.0,78 37 33.5,,39,female
Ho47,16 50 59.2,78 37 30.4,,232,female
Ho48,16 50 59.8,78 37 30.4,,309,female
Ho49,16 50 59.6,78 37 29.9,,208,female
Ho50,16 51 01.7,78 37 29.9,,238,female
Ho51,16 51 05.0,78 37 30.2,,237,female
Ho52,16 51 03.7,78 37 29.5,,81,male
Sto02,16 50 48.0,78 31 45.1,,,male
Mi03,16 50 46.3,78 32 52.2,,,male
Ma02,16 51 51.6,78 36 59.5,01ma02,,male
Misc01,16 51 10.1,78 37 25.0,,,female
Ho53,16 51 02.8,78 37 26.1,,46,female
Ma03,16 51 04.9,78 37 27.2,01ma03,,female
Ho54,16 51 05.8,78 37 28.7,,240,male
Ho55,16 51 05.6,78 37 29.7,,231,male
Ho56,16 51 08.6,78 37 28.4,,312,female
Mi04,16 50 58.2,78 37 27.4,,,male
Ho57,16 51 05.4,78 37 28.8,,209,female
Ho58,16 51 08.4,78 37 29.5,,312,female
Ho59,16 51 09.2,78 37 24.8,,315,female
Ho60,16 51 47.7,78 37 03.8,,220,female
Fa03,16 51 16.0,78 37 21.2,,,
Fa02,16 51 31.8,78 37 57.4,,,
Fa01,16 51 45.6,78 37 40.5,,,
